run,gpus,series,concurrency,isl,osl,requested,valid,errors,status,req_s,out_tps,out_tps_per_gpu,tps_user_p50,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,e2e_p99_ms,isl_observed,slo_ok
20260926T134723Z-sweep-gpt-oss-20b-1xB300-chat-c1,1,gpt-oss-20b-1xB300-chat,1,800,256,16,16,0,ok,1.9357381175247377,495.54895808633285,495.54895808633285,548.9836383392312,47.231370999999996,49.5319482,1.8215479137254902,1.8399121450980391,518.07285975,867.0,True
20260926T134750Z-sweep-gpt-oss-20b-1xB300-chat-c8,1,gpt-oss-20b-1xB300-chat,8,800,256,32,32,0,ok,10.849508360733195,2777.474140347698,2777.474140347698,398.4710459556459,75.708929,134.88100269,2.509594060784314,2.80835470854902,757.1613507799999,867.0,True
20260926T134806Z-sweep-gpt-oss-20b-1xB300-chat-c32,1,gpt-oss-20b-1xB300-chat,32,800,256,128,128,0,ok,27.0278541158871,6919.130653667097,6919.130653667097,274.12560788347537,241.459822,284.68332985,3.6485920803921568,3.9449787874117646,1268.96607137,867.0,True
20260926T134831Z-sweep-gpt-oss-20b-1xB300-chat-c128,1,gpt-oss-20b-1xB300-chat,128,800,256,512,512,0,ok,63.040465402264076,16138.359142979603,16138.359142979603,187.88331768503838,573.8653419999999,833.2532703399999,5.322452319607843,7.134194997215686,2205.5227208899996,867.0,True
20260926T145721Z-sweep-qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat-c1,1,qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat,1,800,64,16,16,0,ok,2.5497997147224476,163.18718174223665,163.18718174223665,198.35036918325852,69.201419,72.8698271,5.041583801587301,5.0564157793650795,391.41530935000003,810.1875,True
20260926T145742Z-sweep-qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat-c4,1,qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat,4,800,64,32,32,0,ok,7.155727224602182,457.96654237453964,457.96654237453964,173.82011376261678,196.0688475,222.82153347999997,5.75307946031746,5.814256921428571,581.2961275399999,810.1875,True
20260926T145757Z-sweep-qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat-c8,1,qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat,8,800,64,64,64,0,ok,13.206904696726818,845.2419005905164,845.2419005905164,157.31446860891074,196.91157249999998,215.75545802,6.3566943968253975,6.4264139857142855,615.6814333799999,810.1875,True
20260926T145816Z-sweep-qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat-c16,1,qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat,16,800,64,128,128,0,ok,20.401024981794308,1305.6655988348357,1305.6655988348357,138.88759590244823,319.6162025,341.44881005,7.200067031746031,7.709303272222223,805.1654377899999,810.171875,True
20260926T145838Z-sweep-qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat-c32,1,qwen3.5-122b-nvfp4-1xB300-dyn1.5-chat,32,800,64,256,256,0,ok,31.328507825627145,2005.0245008401373,2005.0245008401373,103.81740200211087,400.906135,486.39871379999994,9.632298325396825,12.608699246031746,1039.02112045,810.140625,True
20260926T144521Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat-c1,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat,1,800,256,16,16,0,ok,0.9851002878349632,252.18567368575057,252.18567368575057,268.9655573800913,60.482623999999994,65.87830325,3.717948164705882,3.730423127843137,1013.8788462999999,810.1875,True
20260926T144554Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat-c8,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat,8,800,256,32,32,0,ok,4.104264254567478,1050.6916491692743,1050.6916491692743,193.79251522978723,192.9475675,1941.2879956199997,5.160158023529412,5.244452441137255,3252.5879917899997,810.1875,True
20260926T144618Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat-c32,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat,32,800,256,128,128,0,ok,14.752000557404338,3776.5121426955106,3776.5121426955106,154.87163270157995,410.0576855,860.76499023,6.456960403921569,7.131804379960785,2497.68896957,810.171875,True
20260926T144644Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat-c128,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-chat,128,800,256,512,512,0,ok,34.63918344581445,8867.6309621285,8867.6309621285,99.49715363745241,965.551967,1590.3807719099998,10.050539115686275,13.350508968784313,4034.69131006,810.13671875,True
